"cid","name","star","rating","rating_title","number_of_ratings","price","url","lat","lon"
24,"Hôtel & Spa Vatel","4 étoiles","8.2","Très bien","807 expériences vécues","€ 96,18","https://www.booking.com/hotel/fr/vatel.fr.html?sid=3d849e1696bbf8f4aabc6e126333ba51","43.82057675","4.31912698"
24,"B&B Hôtel Nîmes Centre Arènes","2 étoiles","7.4","Bien","1 405 expériences vécues","€ 52,68","https://www.booking.com/hotel/fr/b-amp-b-nimes-centre-ville.fr.html?sid=3d849e1696bbf8f4aabc6e126333ba51","43.82816140","4.35479020"
24,"ibis Nîmes Ouest - A9","3 étoiles","7.8","Bien","1 672 expériences vécues","€ 54","https://www.booking.com/hotel/fr/ibis-na-r-mes-ouest.fr.html?sid=3d849e1696bbf8f4aabc6e126333ba51","43.81389059","4.34434175"
25,"Hôtel Saint Louis","3 étoiles","8.4","Très bien","604 expériences vécues","€ 81,40","https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.fr.html?sid=26e0663d39d9f19ea67f5140c0c79c8f","43.56721967","4.18934360"
25,"Hotel Canal Aigues Mortes","3 étoiles","8.6","Superbe","871 expériences vécues","€ 97,20","https://www.booking.com/hotel/fr/canal-aigues-mortes.fr.html?sid=26e0663d39d9f19ea67f5140c0c79c8f","43.57298752","4.19482470"
25,"La Villa Mazarin","5 étoiles","9.1","Fabuleux","740 expériences vécues","€ 139,40","https://www.booking.com/hotel/fr/la-villa-mazarin.fr.html?sid=26e0663d39d9f19ea67f5140c0c79c8f","43.56498662","4.19175196"
25,"Hotel Des 4 Vents","3 étoiles","8.3","Très bien","753 expériences vécues","€ 82,30","https://www.booking.com/hotel/fr/des-4-vents.fr.html?sid=26e0663d39d9f19ea67f5140c0c79c8f","43.57702546","4.19753909"
25,"Maison des Croisades","","8.9","Superbe","564 expériences vécues","","https://www.booking.com/hotel/fr/des-croisades.fr.html?sid=26e0663d39d9f19ea67f5140c0c79c8f","43.56899740","4.18829820"
25,"Hôtel-Restaurant ""Chez Carrière""","","8.8","Superbe","643 expériences vécues","€ 89,72","https://www.booking.com/hotel/fr/restaurant-quot-chez-carriere-quot.fr.html?sid=26e0663d39d9f19ea67f5140c0c79c8f","43.56651351","4.19115815"
25,"Hôtel Le Médiéval","2 étoiles","7.3","Bien","517 expériences vécues","€ 82","https://www.booking.com/hotel/fr/le-medieval.fr.html?sid=26e0663d39d9f19ea67f5140c0c79c8f","43.57186625","4.19366169"
25,"Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel","2 étoiles","6.9","Note","1 375 expériences vécues","","https://www.booking.com/hotel/fr/le-royal-hotel-aigues-mortes.fr.html?sid=26e0663d39d9f19ea67f5140c0c79c8f","43.57639589","4.19781804"
25,"Boutique Hôtel des Remparts & Spa","4 étoiles","9.6","Exceptionnel","262 expériences vécues","€ 278,30","https://www.booking.com/hotel/fr/les-remparts-aigues-mortes.fr.html?sid=26e0663d39d9f19ea67f5140c0c79c8f","43.56803552","4.19034380"
25,"Le Mas Des Sables","3 étoiles","7.8","Bien","818 expériences vécues","","https://www.booking.com/hotel/fr/le-mas-des-sables-aigues-mortes.fr.html?sid=26e0663d39d9f19ea67f5140c0c79c8f","43.58606025","4.19745116"
26,"Le Castelet","2 étoiles","7.4","Bien","1 348 expériences vécues","€ 55","https://www.booking.com/hotel/fr/le-castelet-les-saintes-maries-de-la-mer.fr.html?sid=166d2385d3f4c5db67b8667f877e4865","43.45134949","4.42507625"
26,"Hotel Les Palmiers En Camargue","2 étoiles","8.1","Très bien","1 289 expériences vécues","€ 67","https://www.booking.com/hotel/fr/les-palmiers-en-camargue.fr.html?sid=166d2385d3f4c5db67b8667f877e4865","43.45106618","4.42509368"
26,"Thalacap Camargue","3 étoiles","7.7","Bien","897 expériences vécues","€ 122,10","https://www.booking.com/hotel/fr/thalacap-camargue.fr.html?sid=166d2385d3f4c5db67b8667f877e4865","43.45349134","4.43545103"
26,"Le Dauphin Bleu","3 étoiles","8.6","Superbe","944 expériences vécues","€ 100,10","https://www.booking.com/hotel/fr/le-dauphin-bleu.fr.html?sid=166d2385d3f4c5db67b8667f877e4865","43.45233086","4.43364993"
26,"Hotel Le Bleu Marine","2 étoiles","8.4","Très bien","519 expériences vécues","€ 55","https://www.booking.com/hotel/fr/le-bleu-marine.fr.html?sid=166d2385d3f4c5db67b8667f877e4865","43.45463818","4.43320200"
26,"La Tramontane","3 étoiles","9.1","Fabuleux","1 246 expériences vécues","","https://www.booking.com/hotel/fr/la-tramontane.fr.html?sid=166d2385d3f4c5db67b8667f877e4865","43.47260109","4.41012025"
26,"Hôtel Les Arcades","2 étoiles","8.7","Superbe","475 expériences vécues","€ 66,64","https://www.booking.com/hotel/fr/ha-tel-les-arcades.fr.html?sid=166d2385d3f4c5db67b8667f877e4865","43.45262780","4.43076655"
